2020-04-23 00:00:00,2020-04-22 00:00:00,2020-04-21 00:00:00,2020-04-20 00:00:00,2020-04-19 00:00:00,2020-04-18 00:00:00,2020-04-17 00:00:00,2020-04-16 00:00:00,2020-04-15 00:00:00,2020-04-14 00:00:00,2020-04-13 00:00:00,2020-04-12 00:00:00,2020-04-11 00:00:00,2020-04-10 00:00:00,2020-04-09 00:00:00,2020-04-08 00:00:00,2020-04-07 00:00:00,2020-04-06 00:00:00,2020-04-05 00:00:00,2020-04-04 00:00:00,2020-04-03 00:00:00,2020-04-02 00:00:00,2020-04-01 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-29 00:00:00,2020-03-28 00:00:00,2020-03-27 00:00:00,2020-03-26 00:00:00,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-21 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-15 00:00:00,2020-03-14 00:00:00,2020-03-13 00:00:00,2020-03-12 00:00:00,2020-03-11 00:00:00,2020-03-10 00:00:00,2020-03-09 00:00:00,2020-03-08 00:00:00,2020-03-07 00:00:00,2020-03-06 00:00:00,2020-03-05 00:00:00,2020-03-04 00:00:00,2020-03-03 00:00:00,2020-03-02 00:00:00,2020-03-01 00:00:00,2020-02-29 00:00:00,2020-02-28 00:00:00,2020-02-27 00:00:00,2020-02-26 00:00:00,2020-02-25 00:00:00,2020-02-24 00:00:00,2020-02-23 00:00:00,2020-02-22 00:00:00,2020-02-21 00:00:00,2020-02-20 00:00:00,2020-02-19 00:00:00,2020-02-18 00:00:00,2020-02-17 00:00:00,2020-02-16 00:00:00,2020-02-15 00:00:00,2020-02-14 00:00:00,2020-02-13 00:00:00,2020-02-12 00:00:00,2020-02-11 00:00:00,2020-02-10 00:00:00,2020-02-09 00:00:00,2020-02-08 00:00:00,2020-02-07 00:00:00,2020-02-06 00:00:00,2020-02-05 00:00:00,2020-02-04 00:00:00,2020-02-03 00:00:00,2020-02-02 00:00:00,2020-02-01 00:00:00,2020-01-31 00:00:00,2020-01-30 00:00:00,2020-01-29 00:00:00,2020-01-28 00:00:00,2020-01-27 00:00:00,2020-01-26 00:00:00,2020-01-25 00:00:00,2020-01-24 00:00:00,2020-01-23 00:00:00,2020-01-22 00:00:00,2020-01-21 00:00:00,2020-01-20 00:00:00,2020-01-19 00:00:00,2020-01-18 00:00:00,2020-01-17 00:00:00,2020-01-16 00:00:00,2020-01-15 00:00:00,2020-01-14 00:00:00,2020-01-13 00:00:00,2020-01-12 00:00:00,2020-01-11 00:00:00,2020-01-10 00:00:00,2020-01-09 00:00:00,2020-01-08 00:00:00,2020-01-07 00:00:00,2020-01-06 00:00:00,2020-01-05 00:00:00,2020-01-04 00:00:00,2020-01-03 00:00:00,2020-01-02 00:00:00,2020-01-01 00:00:00,2019-12-31 00:00:00,Latitude,Longitude,Population Desity
0,61.0,35,88,63,51,10,70,49,58,52,34,37,61,56,30,38,29,35,0,43,26,25,27,8,15,16,0,33,2,6,10,0,2,0,0,1,5,6,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,65.0,56.93776001
25,25.0,22,14,9,21,24,19,8,21,13,17,7,9,17,6,16,28,29,27,18,16,20,11,15,11,12,28,23,23,11,13,6,0,11,4,4,9,4,5,10,12,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,20.0,104.6122628
99,93.0,89,94,117,150,108,90,87,69,89,64,95,94,104,45,103,69,80,185,139,131,132,73,57,45,42,65,38,34,29,62,37,12,18,12,2,10,11,11,1,5,0,0,0,3,0,0,5,7,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,3.0,17.73007507
6,0.0,4,9,8,14,9,14,13,8,16,21,18,19,19,19,25,35,27,11,38,14,6,36,26,41,43,36,24,31,20,25,13,0,22,39,0,9,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,1.5,163.8425532
0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,2,4,2,0,0,1,0,0,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,18.5,24.71305206
144,112.0,90,102,170,98,128,0,160,69,66,162,81,99,80,87,74,103,186,132,0,167,0,146,75,55,101,87,115,86,35,41,67,30,31,18,14,9,11,11,3,12,0,7,0,3,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.0,-64.0,16.2585101
50,72.0,62,48,43,47,42,48,72,26,46,30,16,40,28,20,11,52,34,73,92,39,50,58,0,52,43,39,25,71,4,30,24,14,7,37,26,22,10,7,7,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,45.0,103.6802248
3,0.0,0,1,0,1,2,1,0,0,0,6,4,5,3,3,7,0,2,2,5,0,5,0,22,0,0,9,2,5,8,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-69.97,588.0277778
7,22.0,13,26,53,36,39,42,50,44,33,51,86,100,96,112,100,57,139,324,248,269,150,464,284,431,212,367,376,600,114,611,224,165,144,111,79,77,49,52,41,30,14,12,20,6,11,4,7,11,8,4,3,1,2,0,1,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.0,133.0,3.249129487
91,50.0,73,48,59,155,78,136,191,106,130,247,312,279,329,343,314,217,241,396,418,529,564,805,522,594,668,1141,606,796,855,607,375,453,550,314,316,156,205,151,143,115,64,51,29,3,25,33,12,5,6,4,4,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.33,13.33,107.2069267
